school_id,program_name,host_school_or_site,program_type_standardized,target_students,age_range,eligibility_notes,diploma_granting_school,is_diploma_granting,delivery_model,support_services
,Re-engagement Center (REC),BPS (district),Re-engagement,students who dropped out or are currently enrolled and struggling,,For students seeking alternative pathways back to graduation,,0,alternative pathway counseling,re-engagement planning and advising
,Boston Adult Technical Academy (BATA),Boston Adult Technical Academy,Adult Education,"primarily students from communities of color, immigrant families, and/or English learners",,Students seeking high school completion in a culturally sustaining environment,,0,student-centered,community-centered supports
107,Accelerated Intervention Program (AIP),Excel High School,Accelerated Diploma,students within Excel High School,,Excel students needing accelerated pathway,Excel High School,1,blended (online + classroom),academic monitoring
101,Accelerated Diploma Program (ADP),Brighton High School,Accelerated Diploma,students within Brighton High School and district students,,Students seeking accelerated pathway to diploma,Boston Collaborative High School,1,accelerated,academic and life skills support
102,Roads to Success (RTS),Charlestown High School,Competency-based Alternative,students from BPS high schools who have not succeeded in regular programs,,Students needing rigorous competency-based small setting,,0,"competency-based, personalized",small personalized learning culture
109,Greater Egleston High School (GEHS),Greater Egleston High School,Alternative,students ages 15-21 seeking alternative to traditional high school,15-21,Small school setting with advisory model,,0,blended + internship-based,"advisory, internships, career exploration"
103,Community Academy (CA),Community Academy,Recovery-focused Alternative,"students seeking re-engagement after trauma, court-involvement, or school violations",,Holistic wellness and individualized academic plans,,0,alternative small setting,"SEL, trauma-informed support"
,Boston Day and Evening Academy (BDEA),Boston Day and Evening Academy,Competency-based Alternative,students not served well in traditional model,,College and career preparation focus,,0,competency-based,"wraparound services, post-graduate planning"
,BDEA 2.0,Boston Day and Evening Academy,Competency-based Alternative,primarily Black and Brown young men,,Focus on emancipatory competencies,,0,competency-based + project-based,culturally responsive supports
95,Otro Camino (OC),Boston Collaborative High School,EL-focused Alternative,English learners,,Alternative model for EL students,Boston Collaborative High School,1,blended + online + project-based,personalized instruction
95,LogOn Academy,Boston Collaborative High School,Blended/Online Alternative,students comfortable with independent online learning,,Requires strong independent work skills,Boston Collaborative High School,1,blended learning,postsecondary pathway planning
95,St. Mary’s Alternative School (SMS),Boston Collaborative High School,Recovery-focused Alternative,expectant and parenting young women,,School-aged expectant/parenting students,Boston Collaborative High School,1,intensive online + blended + project-based,wraparound supports
95,ABCD University High School (UHS),Boston Collaborative High School ,Community-based Alternative,students needing credit recovery and re-engagement,,Hands-on learning and internships,Boston Collaborative High School,1,project-based + internships,"mentoring, experiential learning"
95,Ostiguy High School,Boston Collaborative High School ,Recovery-focused Alternative,students in addiction recovery,,Supportive restorative environment,Boston Collaborative High School,1,restorative practices model,recovery support services
